// Flappy Bird
// Criação:        17 Set 2023
// Atualização:    18 Set 2023
// Descrição:   Posição dos pipes do nível 2
//
// Cano de cima
//  posX    posY    platType
    480      -150       3
    940      -70        3
    1440     -130       3
    1920     -130       3
    2400     -100       3
    2880     -100       3
    3360     -70        3
    3840     -90        3
    4320     -100       3
    4800     -150       3
    5140     -200       3
//
//  Cano baixo
//  posX    posY    platType
    480     700        4
    940     750        4
    1440    700        4
    1920    740        4
    2400    740        4
    2880    740        4
    3360    740        4
    3840    740        4
    4320    740        4
    4800    740        4
    5140    740        4
